loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.5899665832519532,17.663007736206055,3.8000000000000005e-06,0.39603960396039606,20,,,,,,,,,,,,,
1.6590103149414062,17.821439743041992,7.800000000000002e-06,0.7920792079207921,40,,,,,,,,,,,,,
,,,1.0,51,0.9890854358673096,0.7434156848666819,0.5534250112983408,0.49323896656884747,0.521601557746136,4.6633,43.103,2.788,,,,,
1.4270956993103028,14.504981994628906,1.18e-05,1.1782178217821782,60,,,,,,,,,,,,,
1.355537509918213,63.52043914794922,1.58e-05,1.5742574257425743,80,,,,,,,,,,,,,
1.6463048934936524,67.15921020507812,1.98e-05,1.9702970297029703,100,,,,,,,,,,,,,
,,,2.0,102,1.1944931745529175,0.7162462060637708,0.49981036182962907,0.7582714770700271,0.6024917133386672,4.7134,42.644,2.758,,,,,
1.3508164405822753,27.27202033996582,1.9073170731707318e-05,2.3564356435643563,120,,,,,,,,,,,,,
1.5036190032958985,118.43482208251953,1.809756097560976e-05,2.7524752475247523,140,,,,,,,,,,,,,
,,,3.0,153,1.2081905603408813,0.7174374204497243,0.5012136389905606,0.7485470970711778,0.6004061475977293,4.7342,42.457,2.746,,,,,
1.554061222076416,15.811846733093262,1.7121951219512196e-05,3.1386138613861387,160,,,,,,,,,,,,,
1.4433420181274415,36.23598861694336,1.6146341463414636e-05,3.5346534653465347,180,,,,,,,,,,,,,
1.5767708778381349,20.044023513793945,1.5170731707317075e-05,3.9306930693069306,200,,,,,,,,,,,,,
,,,4.0,204,1.1278319358825684,0.738161287164257,0.540538896660787,0.5113642902353415,0.5255470136014193,4.6867,42.887,2.774,,,,,
1.196720027923584,17.255279541015625,1.4195121951219512e-05,4.316831683168317,220,,,,,,,,,,,,,
1.383580780029297,42.700965881347656,1.3219512195121953e-05,4.712871287128713,240,,,,,,,,,,,,,
,,,5.0,255,1.207717776298523,0.7322868052609249,0.5450087889721529,0.3389723229184648,0.4179792819639563,4.7159,42.622,2.757,,,,,
1.391036605834961,43.87590026855469,1.2243902439024392e-05,5.099009900990099,260,,,,,,,,,,,,,
1.2895684242248535,26.566730499267578,1.1268292682926829e-05,5.4950495049504955,280,,,,,,,,,,,,,
1.2365336418151855,36.587276458740234,1.029268292682927e-05,5.891089108910891,300,,,,,,,,,,,,,
,,,6.0,306,1.205924153327942,0.7271629516007964,0.5171053314644656,0.5731630128315783,0.5436930298564489,4.7024,42.744,2.765,,,,,
1.255135726928711,12.489680290222168,9.317073170731709e-06,6.2772277227722775,320,,,,,,,,,,,,,
1.264087963104248,35.78251266479492,8.341463414634147e-06,6.673267326732673,340,,,,,,,,,,,,,
,,,7.0,357,1.343931794166565,0.7188570869096962,0.5033506075768406,0.6483111801599631,0.5667077433795237,4.6975,42.788,2.767,,,,,
1.177831268310547,51.02232360839844,7.3658536585365855e-06,7.0594059405940595,360,,,,,,,,,,,,,
1.186642551422119,77.84496307373047,6.390243902439025e-06,7.455445544554456,380,,,,,,,,,,,,,
1.2199028968811034,34.90083694458008,5.414634146341464e-06,7.851485148514851,400,,,,,,,,,,,,,
,,,8.0,408,1.3056561946868896,0.7219738259195196,0.5104877898751307,0.47753035272455263,0.49345938875014866,4.7273,42.519,2.75,,,,,
1.0399197578430175,22.787857055664062,4.439024390243903e-06,8.237623762376238,420,,,,,,,,,,,,,
1.1022740364074708,21.389198303222656,3.4634146341463416e-06,8.633663366336634,440,,,,,,,,,,,,,
,,,9.0,459,1.3414334058761597,0.7214190137397605,0.50876892316481,0.5124575637263363,0.5106065818140122,4.6841,42.911,2.775,,,,,
1.086357593536377,19.735797882080078,2.487804878048781e-06,9.01980198019802,460,,,,,,,,,,,,,
1.0618905067443847,30.4969539642334,1.5121951219512196e-06,9.415841584158416,480,,,,,,,,,,,,,
1.0787421226501466,28.10894775390625,5.365853658536586e-07,9.811881188118813,500,,,,,,,,,,,,,
,,,10.0,510,1.376982569694519,0.7189549949414183,0.5042451289866116,0.5331146786351344,0.5182781864458926,5.0137,40.09,2.593,,,,,
,,,10.0,510,,,,,,,,,1205.0716,13.352,0.423,4204264815882240.0,1.3181285708558326
,,,10.0,510,1.1956814527511597,0.7160667080056133,0.499601321335004,0.7571206628689798,0.6019763930826242,4.5515,44.161,2.856,,,,,
,,,10.0,510,1.0577820539474487,0.7603139563404464,0.5124816446402349,0.8008260670032125,0.625,4.5308,44.584,2.869,,,,,
,,,10.0,510,1.1956814527511597,0.7160667080056133,0.499601321335004,0.7571206628689798,0.6019763930826242,4.334,46.377,3.0,,,,,
,,,10.0,510,1.0577820539474487,0.7603139563404464,0.5124816446402349,0.8008260670032125,0.625,4.2813,47.182,3.036,,,,,
