loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.4308937072753904,1.6287459135055542,3.8000000000000005e-06,0.39603960396039606,20,,,,,,,,,,,,,
2.232982635498047,5.677651882171631,7.800000000000002e-06,0.7920792079207921,40,,,,,,,,,,,,,
,,,1.0,51,0.9476120471954346,0.7072060311347541,0.48572874493927126,0.5522757350825709,0.5168690594792537,4.5389,44.284,2.864,,,,,
1.825617790222168,60.97153854370117,1.18e-05,1.1782178217821782,60,,,,,,,,,,,,,
1.7684249877929688,21.918821334838867,1.58e-05,1.5742574257425743,80,,,,,,,,,,,,,
1.866230583190918,17.761720657348633,1.98e-05,1.9702970297029703,100,,,,,,,,,,,,,
,,,2.0,102,0.9616113305091858,0.718318592735224,0.5825105782792666,0.023764313251625525,0.0456656346749226,4.5597,44.082,2.851,,,,,
1.6860837936401367,6.317505836486816,1.9586956521739133e-05,2.3564356435643563,120,,,,,,,,,,,,,
1.8115760803222656,18.9091739654541,1.915217391304348e-05,2.7524752475247523,140,,,,,,,,,,,,,
,,,3.0,153,0.9117672443389893,0.7506608792141248,0.5960816625469193,0.3746475631509293,0.46010882623136173,4.5511,44.165,2.856,,,,,
1.6649019241333007,7.24356746673584,1.871739130434783e-05,3.1386138613861387,160,,,,,,,,,,,,,
1.6858135223388673,18.61098289489746,1.8282608695652176e-05,3.5346534653465347,180,,,,,,,,,,,,,
1.8086603164672852,2.6425399780273438,1.7847826086956524e-05,3.9306930693069306,200,,,,,,,,,,,,,
,,,4.0,204,0.9166190028190613,0.7418981103749878,0.6050013444474321,0.2589331952356292,0.36265463190554864,4.5335,44.337,2.868,,,,,
1.582685947418213,10.903813362121582,1.7413043478260872e-05,4.316831683168317,220,,,,,,,,,,,,,
1.674687957763672,7.775439739227295,1.697826086956522e-05,4.712871287128713,240,,,,,,,,,,,,,
,,,5.0,255,0.9004437923431396,0.7463366078130609,0.5557108140947752,0.5263248748489556,0.5406188126126659,4.5567,44.11,2.853,,,,,
1.6832170486450195,34.03483963012695,1.6543478260869568e-05,5.099009900990099,260,,,,,,,,,,,,,
1.6092798233032226,10.735396385192871,1.6108695652173912e-05,5.4950495049504955,280,,,,,,,,,,,,,
1.6296728134155274,27.711149215698242,1.567391304347826e-05,5.891089108910891,300,,,,,,,,,,,,,
,,,6.0,306,0.9282951354980469,0.7424529225547469,0.5444469199064276,0.562460440761839,0.5533071066708176,4.5207,44.463,2.876,,,,,
1.5137602806091308,12.155413627624512,1.523913043478261e-05,6.2772277227722775,320,,,,,,,,,,,,,
1.569272518157959,14.806238174438477,1.4804347826086958e-05,6.673267326732673,340,,,,,,,,,,,,,
,,,7.0,357,1.030049443244934,0.7398420417088215,0.5325682663521727,0.6755854767247828,0.5956119213696893,4.5545,44.132,2.854,,,,,
1.3702296257019042,11.504669189453125,1.4369565217391305e-05,7.0594059405940595,360,,,,,,,,,,,,,
1.406722068786621,23.5154972076416,1.3934782608695653e-05,7.455445544554456,380,,,,,,,,,,,,,
1.3909133911132812,24.13423728942871,1.3500000000000001e-05,7.851485148514851,400,,,,,,,,,,,,,
,,,8.0,408,1.0901429653167725,0.7291700662511015,0.5235004207236447,0.5011795845560735,0.5120968927301055,4.54,44.274,2.863,,,,,
1.21604642868042,14.434211730957031,1.3065217391304347e-05,8.237623762376238,420,,,,,,,,,,,,,
1.2311223030090332,47.14620590209961,1.2630434782608695e-05,8.633663366336634,440,,,,,,,,,,,,,
,,,9.0,459,1.1691607236862183,0.7242420286544173,0.5109729334308705,0.6430749755451982,0.5694631983898499,4.562,44.06,2.85,,,,,
1.2145111083984375,10.176977157592773,1.2195652173913045e-05,9.01980198019802,460,,,,,,,,,,,,,
1.1244705200195313,14.98405647277832,1.1760869565217393e-05,9.415841584158416,480,,,,,,,,,,,,,
1.2281463623046875,23.99448585510254,1.132608695652174e-05,9.811881188118813,500,,,,,,,,,,,,,
,,,10.0,510,1.1378777027130127,0.730393916647629,0.5322495672461804,0.4069279014903044,0.46122741798734757,4.518,44.488,2.877,,,,,
1.0874316215515136,34.03947448730469,1.0891304347826088e-05,10.198019801980198,520,,,,,,,,,,,,,
1.1876688957214356,23.483491897583008,1.0456521739130436e-05,10.594059405940595,540,,,,,,,,,,,,,
1.1281369209289551,23.07510757446289,1.0021739130434784e-05,10.990099009900991,560,,,,,,,,,,,,,
